Date,Optimized Portfolio,Equal Weight Portfolio,NIFTY 50 Benchmark
2024-10-09,-0.000298329124589966,0.0011881907713883334,-0.0012473907279866303
2024-10-10,-0.008114622658496093,-0.0009714328641728514,0.0006604768849507447
2024-10-11,0.003443826292067142,0.0006607428299592314,-0.0013680536120755926
2024-10-14,0.004192342878659558,0.004517913985423499,0.006557345754428789
2024-10-15,-0.004790004499792888,-0.003695242519679564,-0.0028096049048969007
2024-10-16,0.002624172909978347,-0.003229742548486373,-0.0034340754096676696
2024-10-17,-0.04743856166120255,-0.013185329823198911,-0.008868227322834543
2024-10-18,-0.001739791528274724,0.003926881878278288,0.004210173941240125
2024-10-21,0.004700310143250171,-0.008677619232442306,-0.00293518237799828
2024-10-22,-0.010171517580410624,-0.01493354680094793,-0.012469180337869368
2024-10-23,0.0002639661558813417,-0.0020132859468645304,-0.001495564743491773
2024-10-24,-0.011624892977721185,-0.002957659854908014,-0.0014773427748562273
2024-10-25,-0.00706082417896624,-0.01589531326073955,-0.008959220549493163
2024-10-28,0.0013201179817163141,0.007648695276699806,0.0065485676346082045
2024-10-29,-0.013434068880758421,0.0028652230240121326,0.0052466588480091225
2024-10-30,-0.004137145424374012,-0.0004557733184250473,-0.005149825253829232
2024-10-31,-0.011474483098300335,-0.0022396139529782823,-0.005566773640794054
2024-11-01,0.0021872082896935577,0.004928329862756157,0.004090004961616156
2024-11-04,-0.01819326830483618,-0.013950902795834549,-0.0127137736646451
2024-11-05,0.006426301830516525,0.009131583126051791,0.00908305881860727
2024-11-06,0.01819484281609952,0.012357321462264446,0.011181870759630508
2024-11-07,-0.013107459203467476,-0.011097110857992799,-0.011628025706147627
2024-11-08,0.0015489576649088336,-0.001717769092162729,-0.002113709312467793
2024-11-11,-0.0014754688142718407,-0.0069056058520845405,-0.00028567088740283353
2024-11-12,-0.007504775881843585,-0.011282635880593302,-0.010680930776533315
2024-11-13,-0.011365549694352335,-0.01466924862040312,-0.013582562322921432
2024-11-14,-0.003608211699260475,-0.0024897966265382252,-0.0011185324376894457
2024-11-18,-0.007317301420798195,-0.002547446603101081,-0.0033527151631265184
2024-11-19,0.004599440130266873,0.0022699142332189494,0.002758581406631766
2024-11-21,0.00029740235927640517,-0.01245810463866585,-0.007168807933116472
2024-11-22,0.014035817384651487,0.022175837191649325,0.023869464111237804
2024-11-25,0.006206412663107515,0.011033399791252263,0.013161295867362366
2024-11-26,-0.010723897394935263,-0.0038501675714505044,-0.0011312238174179257
2024-11-27,-0.002799238438024935,0.004299359797701638,0.003323085437806128
2024-11-28,-0.013787253360911994,-0.014348099145222068,-0.014861029054492936
2024-11-29,0.0179267293078873,0.00943596995573317,0.009072001940535257
2024-12-02,0.010686931899051474,0.007615561743803053,0.006006820004948565
2024-12-03,-0.002674159316606471,0.007461888372757445,0.007460011144599932
2024-12-04,-0.003764498654644226,-0.0012796546856224198,0.00042109681465385407
2024-12-05,0.00349914751505259,0.005696164993836288,0.009847825562885104
2024-12-06,1.5484951836242274e-05,0.001011823306906568,-0.0012384293961259507
2024-12-09,-0.006899639571150192,-0.0039749053889849145,-0.0023827399277279726
2024-12-10,-0.0020481639351095896,-0.0010397505591897116,-0.0003635086213900074
2024-12-11,0.0014991082245385283,0.0026683351174908334,0.0012901233029631864
2024-12-12,0.0021679459461207713,-0.0045908653329538324,-0.003778196379659149
